GDC,GDH,GDT,%Humedad,pH MUESTRA,pct_soluble_protein_quim
56.6,9.73,66.4,12.96,7.01,53.39838926174498
60.05,13.18,73.53,13.98,6.99,53.17341329335332
66.98,22.0,88.98,13.21,6.96,50.00749812546864
55.04,21.16,76.56,13.84,7.0,56.54840537283321
54.22,13.98,68.48,11.69,6.99,59.580701132126116
37.62,10.42,48.48,11.09,7.02,58.62019376946529
8.0,2.68,10.98,12.68,7.03,63.10344827586207
13.03,4.3,18.0,11.61,7.0,65.97018947368423
13.43,4.02,18.35,11.81,6.99,63.45313622954178
9.5,2.33,11.98,12.83,7.01,66.81538790957869
5.9,1.57,7.6,12.97,6.99,65.1021417183109
3.93,1.22,5.18,13.8,7.02,75.79960801944036
2.42,0.8,3.38,13.85,6.98,71.13598880503773
26.85,1.45,28.85,13.82,6.96,67.96
19.08,2.55,21.9,14.35,7.0,67.33998654814494
6.4,2.26,8.84,13.1,6.99,67.43914728580188
11.8,1.35,13.15,12.92,7.01,70.04884737338247
4.72,1.32,6.42,13.29,6.98,75.30274966904429
8.77,1.28,10.18,13.6,6.99,63.72653276361585
6.44,2.48,8.95,13.48,6.98,67.25978647686833
3.78,1.35,5.2,14.34,7.01,69.21693137963378
4.58,1.34,6.12,13.63,7.03,58.56619840220837
9.9,3.08,13.3,14.36,6.98,67.55199717457026
14.25,1.93,16.7,13.36,7.02,64.85938047988998
12.13,0.93,13.53,11.59,6.97,53.89747875846791
29.46,3.82,33.4,13.92,6.99,70.05290930788428
42.84,7.02,49.94,13.02,7.0,64.05350479661757
34.2,4.57,38.97,13.84,7.01,63.42779552018494
1.85,14.5,16.45,12.53,6.99,67.45121565098567
1.05,15.85,17.05,13.78,6.98,64.22290780141843
2.82,15.9,18.78,12.49,7.01,64.62093862815884
10.7,1.38,12.1,12.84,7.02,64.69217525690824
15.14,1.94,17.24,13.89,6.99,59.055019444148684
17.35,3.35,20.8,12.2,7.01,65.09851575384081
18.93,3.65,22.7,11.91,7.0,60.60678378792398
28.7,5.0,33.7,13.11,7.02,58.968311717354304
26.85,1.45,28.85,13.82,6.96,67.96
41.83,4.93,46.77,10.45,7.0,59.462057101557996
39.75,4.3,44.12,13.26,7.01,61.986301369863014
46.66,7.4,54.06,10.21,6.99,61.252031176843204
39.04,6.78,45.9,12.05,7.0,55.96424010217116
31.83,5.55,37.68,10.16,6.98,57.09057164774549
37.54,5.98,43.66,12.84,6.97,58.71152901429815
30.63,5.17,35.93,10.61,7.0,62.55934829326802
25.3,3.18,30.68,10.78,6.98,63.1647385217059
30.13,4.0,34.18,12.72,7.01,65.29274725274725
38.92,9.14,48.2,10.33,6.99,58.47766323024054
22.95,4.63,27.83,12.66,7.0,58.29
24.2,5.2,29.5,10.68,6.99,63.62838235294117
36.16,4.7,40.92,12.55,7.01,59.866937728257696
26.08,1.68,28.12,12.56,6.99,67.053074912289
25.14,3.16,32.2,14.32,7.0,71.08535133874523
21.27,2.62,24.78,13.81,6.99,70.65167611638962
31.72,4.78,36.74,13.33,7.0,67.53502875628726
32.05,2.8,34.85,11.72,7.01,68.12418282740508
30.98,3.62,34.9,12.98,6.99,68.48760974544517
29.86,4.2,34.12,13.71,6.97,62.437943194019084
34.05,5.15,39.2,10.88,6.99,59.27242235492618
40.48,5.83,36.38,11.29,7.01,65.56167174918845
43.3,7.18,50.55,13.45,7.03,60.933437969179025
39.94,9.0,48.98,11.32,7.02,58.15957372666046
43.18,9.0,52.18,12.24,6.99,56.119082137679335
55.2,12.1,67.3,10.91,7.01,52.398073681343874
49.8,9.6,59.4,14.1,6.97,63.37195219123507
35.97,6.33,42.3,11.16,6.95,52.85800573387667
39.1,7.4,46.63,12.47,6.98,59.33313337332533
62.4,8.35,71.1,13.01,6.97,55.03048326504912
55.97,9.92,65.88,10.62,6.99,59.17842161338815
45.12,8.02,53.17,9.56,6.97,59.87411448246633
54.96,8.06,63.06,12.35,6.99,61.717547794442154
36.08,4.8,41.13,11.97,6.96,60.34095458347649
9.83,1.0,10.83,13.37,6.98,71.09832123488633
40.23,6.55,47.03,13.37,6.95,62.709392002927345
27.02,3.3,30.42,13.12,7.0,64.87
29.53,2.83,32.48,10.09,6.99,67.74007788189073
14.85,3.51,18.41,10.09,6.95,65.04367491166077
27.35,5.6,32.95,10.66,6.97,62.42052163015583
35.52,7.52,35.52,10.96,7.0,64.65342969376776
33.83,9.37,43.2,12.8,6.99,62.928972120455796
11.91,6.1,14.31,13.08,6.95,63.97865257153549
20.8,3.57,24.4,12.58,7.03,63.041587051082224
23.94,2.64,26.58,14.33,6.93,64.75638980902137
19.82,2.22,22.03,14.26,6.94,63.588716138093524
23.73,2.43,26.6,13.24,6.91,65.38654328128011
21.1,2.45,24.53,12.57,6.94,66.09458765686993
40.07,10.37,50.43,13.47,6.95,63.4501767214583
36.7,4.93,41.77,13.98,6.94,66.10461301241557
42.2,4.55,47.17,10.31,6.93,62.45598986591252
31.1,3.5,34.7,13.94,6.91,55.0586990933426
37.73,3.05,40.83,15.4,6.94,61.26503685904906
30.65,3.33,34.08,15.31,6.93,68.7634148192018
27.96,5.76,33.82,15.94,6.89,64.11538461538463
18.73,8.85,27.88,15.08,6.75,61.52616675843948
13.5,13.2,28.2,14.67,6.86,62.65922869024827
6.33,3.5,13.78,15.52,6.89,66.14407082173199
15.88,2.75,23.36,15.98,6.89,67.28100036887889
11.2,5.8,17.33,15.87,6.98,68.83474430449445
7.33,7.53,15.18,15.42,6.95,67.80622710622711
9.67,6.0,15.97,12.68,6.94,69.63185074129602
4.63,9.22,14.9,14.93,6.95,73.4611070110701
7.86,3.34,12.17,14.3,6.88,71.3193446025845
6.5,2.37,9.82,14.99,6.94,73.25128468785374
8.98,7.43,17.52,14.54,6.95,65.3881156580838
13.42,8.58,22.72,14.61,6.96,64.76930548810101
12.97,6.1,19.87,14.59,6.94,58.12218964068565
14.98,7.7,23.52,14.38,6.96,59.95304964539007
10.25,6.8,18.38,14.72,7.0,62.63300067259275
17.18,8.47,26.85,13.3,7.01,64.13164764348709
24.3,11.57,36.3,12.98,6.95,61.368979703814134
12.15,8.43,21.75,14.37,6.98,62.63345195729539
30.53,6.03,37.37,14.43,6.94,63.19578947368421
35.98,12.72,49.37,14.33,6.94,60.26669230613808
17.65,9.38,28.53,13.69,6.94,60.91914788732393
19.07,9.52,29.32,13.69,6.94,60.48975342984294
8.85,14.2,23.95,13.69,6.92,62.96834234102363
15.5,5.58,21.68,14.11,6.98,65.69388214125057
6.05,5.25,11.68,14.47,6.94,70.31444545606651
4.26,5.38,10.12,12.81,6.94,65.62579672434818
2.36,4.62,7.28,13.92,6.92,72.81805287687982
5.26,6.18,12.18,14.02,6.94,70.62696867871252
6.18,5.13,12.2,13.41,6.96,67.94774853712234
3.43,5.6,10.43,14.39,6.94,68.46492207763713
6.6,7.22,14.18,11.6,6.93,66.99883603103241
15.07,7.07,22.45,15.14,6.95,70.21585664311797
9.78,5.87,15.87,14.84,6.92,69.53057365052894
16.98,19.5,21.95,11.27,6.96,66.47649635036495
9.58,7.88,18.04,12.36,6.94,66.67666216869075
7.12,10.32,18.1,11.02,6.97,66.32640012112915
6.02,8.12,14.76,12.23,6.96,69.14008167316877
4.58,3.9,8.72,12.94,6.96,67.90556472634185
2.36,0.88,3.36,11.49,6.94,73.7133462362906
1.17,0.93,2.38,12.32,6.96,73.81837183867967
2.75,2.9,5.97,13.14,6.96,73.4656826565621
4.7,3.9,8.9,12.74,6.99,73.70029160101771
43.46,2.18,45.72,13.7,6.94,62.81274509503214
21.6,3.13,24.85,11.88,6.96,60.59969652011612
66.28,16.03,84.67,11.53,6.98,50.299132492719544
69.16,13.28,82.86,13.97,6.96,54.52321435770089
32.55,11.93,44.78,9.9,6.96,55.577773334222044
35.82,12.8,49.17,13.45,7.01,56.048354651947264
43.23,14.52,58.08,12.86,6.99,57.8921408936185
47.13,12.35,59.62,13.27,7.01,58.2753893280209
47.32,13.87,61.27,14.16,6.99,51.54878942071732
34.76,16.92,51.7,12.05,6.98,52.822632160731445
38.5,11.7,50.2,12.98,6.99,58.7412229462509
45.48,18.66,64.3,13.78,7.01,59.83863962247917
51.17,11.97,63.13,12.45,6.99,54.424023670091955
49.3,13.7,63.07,11.63,7.01,61.04668721428128
47.47,11.22,58.83,12.09,6.98,57.485397923875425
23.88,3.68,27.7,13.33,7.02,61.86245073711226
33.05,7.0,40.43,14.34,7.04,54.88567770257913
55.4,45.85,14.08,48.37,7.03,55.77339229206538
30.7,17.84,48.76,12.12,6.99,57.35125659144654
31.65,16.38,48.25,14.16,7.0,65.91091549295773
